"region","district","municipality","parish","lat","lon","origin","alert_hour","extinction_hour","firstInterv_hour","village_area","vegetation_area","farming_area","village_veget_area","total_area","alert_day","alert_month","alert_year","firstInterv_day","firstInterv_month","firstInterv_year","extinction_day","extinction_month","extinction_year"
3,9,224,1189,40.3519444444444,7.78444444444444,1,65100,66000,65400,0,0.05,0,0.05,0.05,9,1,2014,9,1,2014,9,1,2014
3,18,226,1808,40.917505,7.51704,5,780,2640,1500,0,3e-04,0,3e-04,3e-04,24,1,2014,24,1,2014,24,1,2014
7,4,138,828,41.4941666666667,6.27472222222222,5,67920,69900,68100,0,0.001,0,0.001,0.001,24,1,2014,24,1,2014,24,1,2014
7,4,282,1546,41.5622222222222,6.43583333333333,5,70800,74400,71400,0,0.001,0,0.001,0.001,22,2,2014,22,2,2014,22,2,2014
3,9,209,1515,40.4686111111111,6.96555555555556,1,70740,77280,71400,0,0.3,0,0.3,0.3,6,3,2014,6,3,2014,6,3,2014
4,6,169,113,40.3027777777778,7.83444444444444,4,42600,48960,43200,0,1.9,0,1.9,1.9,8,3,2014,8,3,2014,8,3,2014
4,6,273,1042,40.1997222222222,8.27611111111111,2,48960,51900,49440,0,0,0.002,0,0.002,8,3,2014,8,3,2014,8,3,2014
4,6,180,735,40.2555555555556,8.29083333333333,5,50940,58500,51900,0.55,0,0,0.55,0.55,8,3,2014,8,3,2014,8,3,2014
6,14,119,1621,39.5436111111111,8.03833333333333,2,51060,58260,51900,0,0,2.479,0,2.479,8,3,2014,8,3,2014,8,3,2014
3,9,209,1425,40.3622222222222,6.95777777777778,1,53820,56700,54300,0,0,0.01,0,0.01,8,3,2014,8,3,2014,8,3,2014
1,2,161,1362,37.5841666666667,8.72916666666667,2,59460,67200,61800,0,0,0.238,0,0.238,8,3,2014,8,3,2014,8,3,2014
7,4,51,1655,41.9786111111111,6.77416666666667,4,60540,83100,62400,0,22.8,0,22.8,22.8,8,3,2014,8,3,2014,8,3,2014
4,10,95,301,40.0677777777778,8.17888888888889,5,72840,77400,74100,0.02,0.11,0,0.13,0.13,8,3,2014,8,3,2014,8,3,2014
