"region","district","municipality","parish","lat","lon","origin","alert_hour","extinction_hour","firstInterv_hour","village_area","vegetation_area","farming_area","village_veget_area","total_area","intentional_cause","alert_day","alert_month","alert_year","firstInterv_day","firstInterv_month","firstInterv_year","extinction_day","extinction_month","extinction_year"
4,6,101,880,40.15389,8.139444,2,84600,4200,85500,0,0,0.02,0,0.02,0,11,1,2014,11,1,2014,12,1,2014
3,9,202,338,40.44639,6.965278,1,69000,76020,69000,0,1,0,1,1,0,24,1,2014,24,1,2014,24,1,2014
6,14,19,327,39.12111,8.655278,2,67560,71340,69000,0,0,0.0742,0,0.0742,0,16,2,2014,16,2,2014,16,2,2014
7,4,254,2434,41.39972,7.0725,5,64800,66600,64980,0,0.006,0,0.006,0.006,0,23,2,2014,23,2,2014,23,2,2014
2,8,210,1771,37.15528,7.8425,5,46080,53880,46860,0,0.03,0,0.03,0.03,0,2,3,2014,2,3,2014,2,3,2014
6,14,21,129,39.19167,8.576944,5,70800,74340,71340,0,0.0192,0,0.0192,0.0192,0,6,3,2014,6,3,2014,6,3,2014
3,9,240,501,40.82667,7.363889,2,71040,80700,71700,0,0,2,0,2,0,6,3,2014,6,3,2014,6,3,2014
7,17,263,2041,41.4675,7.562222,4,43200,75600,61200,9,6,0,15,15,0,7,3,2014,7,3,2014,7,3,2014
3,18,218,911,40.8875,7.530278,5,52800,58680,54000,0,0.02,0,0.02,0.02,0,7,3,2014,7,3,2014,7,3,2014
2,8,67,1261,37.33111,7.483056,5,62100,73680,63000,0,0.045,0,0.045,0.045,0,7,3,2014,7,3,2014,7,3,2014
5,16,141,2029,42.01361,8.471944,4,82140,5400,84600,1,1,0,2,2,0,7,3,2014,7,3,2014,8,3,2014
3,5,78,2221,40.26806,7.497222,2,42720,44100,43200,0,0,0.0025,0,0.0025,0,8,3,2014,8,3,2014,8,3,2014
3,5,179,2332,40.27694,7.005833,2,47700,52800,49620,0,0,0.28,0,0.28,0,8,3,2014,8,3,2014,8,3,2014
4,6,101,2176,40.14111,8.002778,5,52140,63180,53520,0.42,0.08,0,0.5,0.5,0,8,3,2014,8,3,2014,8,3,2014
6,14,200,232,39.25611,8.894167,5,52560,61200,53700,0,0.0916,0,0.0916,0.0916,0,8,3,2014,8,3,2014,8,3,2014
5,1,64,2349,40.98417,8.319167,5,52860,61800,54600,0,0.4273,0,0.4273,0.4273,0,8,3,2014,8,3,2014,8,3,2014
4,6,166,1031,40.32139,7.960556,5,53400,57000,54000,0,0.001,0,0.001,0.001,0,8,3,2014,8,3,2014,8,3,2014
4,6,230,2240,40.39944,7.967778,5,54780,58800,55200,0,0.001,0,0.001,0.001,0,8,3,2014,8,3,2014,8,3,2014
6,14,200,1884,39.375,8.89,5,56040,60600,56460,0,0.1673,0,0.1673,0.1673,0,8,3,2014,8,3,2014,8,3,2014
4,18,270,1801,40.61417,7.894167,5,57360,61200,58200,0,0.06,0,0.06,0.06,0,8,3,2014,8,3,2014,8,3,2014
1,2,159,1889,37.59722,8.802778,5,60360,64020,62700,0,0.086,0,0.086,0.086,0,8,3,2014,8,3,2014,8,3,2014
3,9,96,771,40.62639,7.498056,1,61980,71100,65400,0,1.5,0,1.5,1.5,0,8,3,2014,8,3,2014,8,3,2014
6,11,239,2409,39.10889,9.306944,4,63300,72300,63840,3,0,0,3,3,0,8,3,2014,8,3,2014,8,3,2014
6,14,238,2170,39.41722,8.585278,2,69180,72300,70200,0,0,1e-04,0,1e-04,0,8,3,2014,8,3,2014,8,3,2014
5,13,25,2115,41.29444,7.920278,4,72900,14280,73800,0,59.3,0,59.3,59.3,0,8,3,2014,8,3,2014,9,3,2014
7,17,145,554,41.79194,7.722222,4,75180,82800,76500,0,1,0,1,1,0,8,3,2014,8,3,2014,8,3,2014
5,16,244,2263,42.00694,8.616944,5,76440,77100,76500,0,0.002,0,0.002,0.002,0,8,3,2014,8,3,2014,8,3,2014
3,9,202,1992,40.32222,6.911111,4,77160,21240,77520,1,60,0,61,61,0,8,3,2014,8,3,2014,9,3,2014
